地址,家戶內泥沙淤積程度現況（公分）,屋內大型廢棄家具是否已移除,是否進入一般清潔階段,需求參考的分級與顏色,最後更新日期,最後更新時間
光復鄉中正路一段100號,0,是,是,6級,2025/9/28,11:00
光復鄉中正路一段102號,0～10,否,是,5級,2025/9/28,11:00
光復鄉中正路一段104號,0,是,是,6級,2025/9/28,11:00
光復鄉中正路一段106號,0～10,否,是,5級,2025/9/28,11:00
光復鄉中正路一段112號,0,是,是,6級,2025/9/28,11:00
光復鄉中正路一段124號,0,是,是,6級,2025/9/28,11:00
光復鄉中正路一段30號,0,否,是,6級,2025/9/28,11:00
光復鄉中正路一段32號,0,是,是,6級,2025/9/28,11:00
光復鄉中正路一段34號,0,是,是,6級,2025/9/28,11:00
光復鄉中正路一段36號,0,是,是,6級,2025/9/28,11:00
光復鄉中正路一段38號,0,是,是,6級,2025/9/28,11:00
光復鄉中正路一段40號,0,是,是,6級,2025/9/28,11:00
光復鄉中正路一段42號,0,是,是,6級,2025/9/28,11:00
光復鄉中正路一段46號,0,是,是,6級,2025/9/28,11:00
光復鄉中正路一段48號,0,無法判斷,無法判斷,無法判斷,2025/9/28,11:00
光復鄉中正路一段50號,0,無法判斷,無法判斷,無法判斷,2025/9/28,11:00
光復鄉中正路一段52號,0,是,是,6級,2025/9/28,11:00
光復鄉中正路一段54號,0,是,是,6級,2025/9/28,11:00
光復鄉中正路一段56號,0,是,是,6級,2025/9/28,11:00
光復鄉中正路一段58號,0,是,是,6級,2025/9/28,11:00
光復鄉中正路一段60號,0,是,是,6級,2025/9/28,11:00
光復鄉中正路一段62號,0,是,是,6級,2025/9/28,11:00
光復鄉中正路一段64號,0,是,是,6級,2025/9/28,11:00
光復鄉中正路一段66號,0,是,是,6級,2025/9/28,11:00
光復鄉中正路一段68號,0,是,是,6級,2025/9/28,11:00
光復鄉中正路一段70號,0,是,是,6級,2025/9/28,11:00
光復鄉中正路一段72號,0,是,是,6級,2025/9/28,11:00
光復鄉中正路一段74號,0,是,是,6級,2025/9/28,11:00
光復鄉中正路一段76號,0,是,是,6級,2025/9/28,11:00
光復鄉中正路一段78號,0,否,是,6級,2025/9/28,11:00
光復鄉中正路一段80號,0,否,是,6級,2025/9/28,11:00
光復鄉中正路一段82號,0～10,是,是,6級,2025/9/28,11:00
光復鄉中正路一段88號,0～10,否,無法判斷,5級,2025/9/28,11:00
光復鄉中正路一段90號,0,是,是,6級,2025/9/28,11:00
光復鄉中正路一段92號,0,是,是,6級,2025/9/28,11:00
光復鄉中正路一段94號,0,是,是,6級,2025/9/28,11:00
光復鄉中正路一段96號,0,是,是,6級,2025/9/28,11:00
光復鄉中正路一段98號,0～10,否,是,5級,2025/9/28,11:00
光復鄉林森路10號,0,是,是,6級,2025/9/28,11:00
光復鄉林森路2號,0～10,否,否,5級,2025/9/28,11:00
光復鄉林森路4號,0～10,否,否,5級,2025/9/28,11:00
光復鄉林森路6號,0～10,否,是,5級,2025/9/28,11:00
光復鄉林森路8號,0,是,是,6級,2025/9/28,11:00
光復鄉林森路12號,0～10,是,是,6級,2025/9/28,11:00
光復鄉林森路14號,0～10,是,是,6級,2025/9/28,11:00
光復鄉林森路16號,10～30,否,否,3級,2025/9/28,11:00
光復鄉林森路18號,0,是,是,6級,2025/9/28,11:00
光復鄉林森路20號,0,是,是,6級,2025/9/28,11:00
光復鄉林森路22號,0,是,是,6級,2025/9/28,11:00
光復鄉林森路24號,0～10,否,是,5級,2025/9/28,11:00
光復鄉林森路26號,0,否,是,6級,2025/9/28,11:00
光復鄉林森路28號,0～10,否,是,5級,2025/9/28,11:00
光復鄉林森路30號,0～10,否,是,5級,2025/9/28,11:00
光復鄉林森路32號,0,是,是,6級,2025/9/28,11:00
光復鄉林森路32-1號,0,是,是,6級,2025/9/28,11:00
光復鄉林森路36號,0,是,是,6級,2025/9/28,11:00
光復鄉中正路一段264號,0～10,否,是,5級,2025/9/28,11:00
光復鄉中正路一段266號,0～10,否,是,5級,2025/9/28,11:00
光復鄉中正路一段268號,0～10,否,是,5級,2025/9/28,11:00
光復鄉中正路一段270號,0～10,是,是,6級,2025/9/28,11:00
光復鄉中正路一段272號,0,是,是,6級,2025/9/28,11:00
光復鄉中正路一段274號,0～10,是,是,6級,2025/9/29,12:00
光復鄉中正路一段276號,10～30,是,是,4級,2025/9/29,12:00
光復鄉中正路一段368巷5號,30～50,是,是,2級,2025/9/29,12:00
光復鄉中正路一段334號,0～10,是,是,6級,2025/9/29,12:00
光復鄉中正路一段336號,0～10,是,是,6級,2025/9/29,12:00
光復鄉中正路一段342號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段344號,0～10,否,是,5級,2025/9/29,12:00
光復鄉中正路一段356號,0～10,是,是,6級,2025/9/29,12:00
光復鄉中正路一段360號2號,10～30,否,否,3級,2025/9/29,12:00
光復鄉佛祖街47巷,50以上,否,否,1級,2025/9/29,12:00
光復鄉佛祖街46巷,50以上,否,否,1級,2025/9/29,12:00
光復鄉佛祖街23號,50以上,否,否,1級,2025/9/29,12:00
光復鄉光復高工,50以上,是,否,1級,2025/9/29,12:00
光復鄉佛祖街253號,50以上,否,否,1級,2025/9/29,12:00
光復鄉佛祖街258號,50以上,否,否,1級,2025/9/29,12:00
光復鄉佛祖街118-6號,50以上,否,否,1級,2025/9/29,12:00
光復鄉成功街261號,50以上,是,否,1級,2025/9/29,12:00
光復鄉中山路三段,50以上,是,否,1級,2025/9/29,12:00
光復鄉武昌街167巷2號,50以上,否,否,1級,2025/9/29,12:00
光復鄉中正路一段317巷大同橋旁,50以上,否,否,1級,2025/9/29,12:00
光復鄉中正路一段309號,50以上,否,否,1級,2025/9/29,12:00
光復鄉佛祖街23號,50以上,否,否,1級,2025/9/29,12:00
光復鄉中正路一段273號,50以上,否,否,1級,2025/9/29,12:00
光復鄉中正路一段271號,50以上,否,否,1級,2025/9/29,12:00
光復鄉中正路一段269號,50以上,否,否,1級,2025/9/29,12:00
光復鄉中正路一段278巷,30～50,否,否,1級,2025/9/29,12:00
光復鄉中正路一段280號,30～50,否,否,1級,2025/9/29,12:00
光復鄉中正路一段286號,30～50,否,否,1級,2025/9/29,12:00
光復鄉中正路一段288號,30～50,否,否,1級,2025/9/29,12:00
光復鄉中正路一段278巷2號,30～50,無法判斷,否,無法判斷,2025/9/29,12:00
光復鄉大同橋旁,30～50,否,否,1級,2025/9/29,12:00
光復鄉中正路一段376號,30～50,否,否,1級,2025/9/29,12:00
光復鄉中正路一段378號,30～50,否,否,1級,2025/9/29,12:00
光復鄉中正路一段327號,30～50,否,否,1級,2025/9/29,12:00
光復鄉中正路一段307號,30～50,否,否,1級,2025/9/29,12:00
光復鄉中正路一段305號,30～50,否,否,1級,2025/9/29,12:00
光復鄉中正路一段114號,30～50,否,否,1級,2025/9/29,12:00
光復鄉佛祖街9號,30～50,否,否,1級,2025/9/29,12:00
光復鄉佛祖街22號,30～50,否,否,1級,2025/9/29,12:00
光復鄉中正路一段31號,30～50,否,否,1級,2025/9/29,12:00
光復鄉中正路一段33號,30～50,否,否,1級,2025/9/29,12:00
光復鄉中正路一段35號,30～50,否,否,1級,2025/9/29,12:00
光復鄉中正路一段37號,30～50,否,否,1級,2025/9/29,12:00
光復鄉中正路一段368巷1號,30～50,是,否,2級,2025/9/29,12:00
光復鄉中正路一段368巷3-1號,30～50,否,否,1級,2025/9/29,12:00
光復鄉中正路一段368巷5號,30～50,否,否,1級,2025/9/29,12:00
光復鄉佛祖街25號,30～50,否,否,1級,2025/9/29,12:00
光復鄉佛祖街47巷2號,30～50,否,否,1級,2025/9/29,12:00
光復鄉中正路一段261號,30～50,否,否,1級,2025/9/29,12:00
光復鄉中正路一段247號,30～50,否,否,1級,2025/9/29,12:00
光復鄉中正路一段243號,30～50,否,否,1級,2025/9/29,12:00
光復鄉中正路一段302號,30～50,否,否,1級,2025/9/29,12:00
光復鄉中正路一段302-1號,30～50,否,否,1級,2025/9/29,12:00
光復鄉武昌街3號,30～50,否,否,1級,2025/9/29,12:00
光復鄉武昌街5號,30～50,否,否,1級,2025/9/29,12:00
光復鄉武昌街1號,30～50,否,否,1級,2025/9/29,12:00
光復鄉中學街18號,30～50,否,否,1級,2025/9/29,12:00
光復鄉中學街56號,30～50,是,否,2級,2025/9/29,12:00
光復鄉中山路3段36號,30～50,否,否,1級,2025/9/29,12:00
光復鄉林森路141-號,30～50,否,否,1級,2025/9/29,12:00
光復鄉林森路119號,30～50,否,否,1級,2025/9/29,12:00
光復鄉敦厚街整條街,30～50,否,否,1級,2025/9/29,12:00
光復鄉自強路整條路,30～50,否,否,1級,2025/9/29,12:00
光復鄉林森路12號,10～30,是,否,4級,2025/9/29,12:00
光復鄉中正路一段276號,10～30,是,否,4級,2025/9/29,12:00
光復鄉中正路一段284號,10～30,是,否,4級,2025/9/29,12:00
光復鄉中正路一段302-1號,10～30,否,否,3級,2025/9/29,12:00
光復鄉中正路一段310號,10～30,否,否,3級,2025/9/29,12:00
光復鄉中正路一段278巷5號,10～30,否,否,3級,2025/9/29,12:00
光復鄉中正路一段278巷11號,10～30,是,否,4級,2025/9/29,12:00
光復鄉中正路一段278巷13號,10～30,是,否,4級,2025/9/29,12:00
光復鄉中正路一段278巷4號,10～30,是,否,4級,2025/9/29,12:00
光復鄉中正路一段323號,10～30,否,否,3級,2025/9/29,12:00
光復鄉中正路一段301號,10～30,是,否,4級,2025/9/29,12:00
光復鄉中正路一段295巷8號,10～30,否,否,3級,2025/9/29,12:00
光復鄉中正路一段295巷10號,10～30,否,否,3級,2025/9/29,12:00
光復鄉中正路一段295巷16號,10～30,是,是,4級,2025/9/29,12:00
光復鄉佛祖街16號,10～30,是,否,4級,2025/9/29,12:00
光復鄉佛祖街22-1號,10～30,否,否,3級,2025/9/29,12:00
光復鄉中正路一段360號2號,10～30,否,否,3級,2025/9/29,12:00
光復鄉中正路一段265號,10～30,是,否,4級,2025/9/29,12:00
光復鄉中正路一段263號,10～30,否,否,3級,2025/9/29,12:00
光復鄉中正路一段259號,10～30,否,否,3級,2025/9/29,12:00
光復鄉中正路一段255號,10～30,否,否,3級,2025/9/29,12:00
光復鄉中正路一段310號,10～30,否,否,3級,2025/9/29,12:00
光復鄉中正路一段336號,10～30,是,否,4級,2025/9/29,12:00
光復鄉中正路一段342號,10～30,是,否,4級,2025/9/29,12:00
光復鄉中正路一段344號,10～30,是,否,4級,2025/9/29,12:00
光復鄉中正路一段358號,10～30,是,否,4級,2025/9/29,12:00
光復鄉自強路88號,10～30,是,否,4級,2025/9/29,12:00
光復鄉佛祖街247號,10～30,是,否,4級,2025/9/29,12:00
光復鄉佛祖街221號,10～30,否,否,3級,2025/9/29,12:00
光復鄉佛祖街108號,10～30,否,否,3級,2025/9/29,12:00
光復鄉武昌街128號,10～30,否,否,3級,2025/9/29,12:00
光復鄉武昌街166號,10～30,否,否,3級,2025/9/29,12:00
光復鄉中山路三段67號,10～30,否,否,3級,2025/9/29,12:00
光復鄉武昌街184號,10～30,否,否,3級,2025/9/29,12:00
光復鄉武昌街188號,10～30,否,否,3級,2025/9/29,12:00
光復鄉林森路160-150號,10～30,否,否,3級,2025/9/29,12:00
光復鄉中正路一段82號,0～10,是,否,6級,2025/9/29,12:00
光復鄉中正路一段88號,0～10,否,否,5級,2025/9/29,12:00
光復鄉中正路一段98號,0～10,否,否,5級,2025/9/29,12:00
光復鄉中正路一段102號,0～10,否,否,5級,2025/9/29,12:00
光復鄉中正路一段106號,0～10,否,否,5級,2025/9/29,12:00
光復鄉中正路一段140號,0～10,否,否,5級,2025/9/29,12:00
光復鄉中正路一段148號,0～10,是,是,6級,2025/9/29,12:00
光復鄉中正路一段150號,0～10,是,是,6級,2025/9/29,12:00
光復鄉中正路一段152號,0～10,是,是,6級,2025/9/29,12:00
光復鄉中正路一段160號,0～10,是,是,6級,2025/9/29,12:00
光復鄉中正路一段162號,0～10,否,否,5級,2025/9/29,12:00
光復鄉中正路一段164號,0～10,否,否,5級,2025/9/29,12:00
光復鄉中正路一段166號,0～10,否,否,5級,2025/9/29,12:00
光復鄉中正路一段168號,0～10,否,否,5級,2025/9/29,12:00
光復鄉中正路一段170號,0～10,否,否,5級,2025/9/29,12:00
光復鄉中正路一段171號,0～10,是,是,6級,2025/9/29,12:00
光復鄉中正路一段264號,0～10,是,是,6級,2025/9/29,12:00
光復鄉林森路2號,0～10,否,否,5級,2025/9/29,12:00
光復鄉林森路4號,0～10,否,否,5級,2025/9/29,12:00
光復鄉林森路6號,0～10,否,是,5級,2025/9/29,12:00
光復鄉林森路8號,0～10,是,是,6級,2025/9/29,12:00
光復鄉林森路20號,0～10,是,是,6級,2025/9/29,12:00
光復鄉林森路24號,0～10,是,是,6級,2025/9/29,12:00
光復鄉林森路28號,0～10,否,是,5級,2025/9/29,12:00
光復鄉林森路30號,0～10,否,是,5級,2025/9/29,12:00
光復鄉中正路一段264號,0～10,否,否,5級,2025/9/29,12:00
光復鄉中正路一段266號,0～10,否,否,5級,2025/9/29,12:00
光復鄉中正路一段268號,0～10,是,否,6級,2025/9/29,12:00
光復鄉中正路一段270號,0～10,是,否,6級,2025/9/29,12:00
光復鄉中正路一段274號,0～10,是,否,6級,2025/9/29,12:00
光復鄉中正路一段282號,0～10,是,否,6級,2025/9/29,12:00
光復鄉中正路一段290號,0～10,是,否,6級,2025/9/29,12:00
光復鄉中正路一段302號,0～10,是,否,6級,2025/9/29,12:00
光復鄉中正路一段278巷7號,0～10,是,否,6級,2025/9/29,12:00
光復鄉中正路一段309號,0～10,是,否,6級,2025/9/29,12:00
光復鄉中正路一段311號,0～10,是,否,6級,2025/9/29,12:00
光復鄉中正路一段313號,0～10,是,否,6級,2025/9/29,12:00
光復鄉中正路一段374號,0～10,是,否,6級,2025/9/29,12:00
光復鄉中正路一段321號,0～10,是,否,6級,2025/9/29,12:00
光復鄉佛祖街13號,0～10,是,否,6級,2025/9/29,12:00
光復鄉佛祖街17號,0～10,是,否,6級,2025/9/29,12:00
光復鄉中正路一段334號,0～10,是,是,6級,2025/9/29,12:00
光復鄉中正路一段336號,0～10,是,否,6級,2025/9/29,12:00
光復鄉中正路一段344號,0～10,否,否,5級,2025/9/29,12:00
光復鄉中正路一段356號,0～10,否,否,5級,2025/9/29,12:00
光復鄉中正路一段362號,0～10,否,否,5級,2025/9/29,12:00
光復鄉中正路一段364號,0～10,否,否,5級,2025/9/29,12:00
光復鄉中正路一段366號,0～10,是,否,6級,2025/9/29,12:00
光復鄉中正路一段368巷1-1號,0～10,是,否,6級,2025/9/29,12:00
光復鄉中正路一段253號,0～10,否,否,5級,2025/9/29,12:00
光復鄉中正路一段251號,0～10,否,否,5級,2025/9/29,12:00
光復鄉中正路一段334號,0～10,是,否,6級,2025/9/29,12:00
光復鄉中正路一段356號,0～10,否,否,5級,2025/9/29,12:00
光復鄉自強路80巷7號,0～10,是,否,6級,2025/9/29,12:00
光復鄉自強路96號,0～10,是,否,6級,2025/9/29,12:00
光復鄉武昌街117號,0～10,是,否,6級,2025/9/29,12:00
光復鄉中學街14號,0～10,是,否,6級,2025/9/29,12:00
光復鄉中正路一段48號,無法判斷,無法判斷,否,無法判斷,2025/9/29,12:00
光復鄉中正路一段50號,無法判斷,無法判斷,否,無法判斷,2025/9/29,12:00
光復鄉中正路一段78號,無法判斷,無法判斷,否,無法判斷,2025/9/29,12:00
光復鄉中正路一段80號,無法判斷,無法判斷,否,無法判斷,2025/9/29,12:00
光復鄉中正路一段90號,無法判斷,無法判斷,否,無法判斷,2025/9/29,12:00
光復鄉中正路一段278巷9號,無法判斷,無法判斷,否,無法判斷,2025/9/29,12:00
光復鄉中正路一段368巷2號,無法判斷,無法判斷,否,無法判斷,2025/9/29,12:00
光復鄉中正路一段3295巷1號,無法判斷,無法判斷,否,無法判斷,2025/9/29,12:00
光復鄉中正路一段32號,0,是,否,6級,2025/9/29,12:00
光復鄉中正路一段34號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段36號,0,是,否,6級,2025/9/29,12:00
光復鄉中正路一段38號,0,是,否,6級,2025/9/29,12:00
光復鄉中正路一段40號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段42號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段46號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段52號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段54號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段56號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段58號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段60號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段62號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段64號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段66號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段68號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段70號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段72號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段74號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段76號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段92號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段94號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段96號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段100號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段104號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段122號,0,是,是,6級,2025/9/29,12:00
光復鄉郵局,0,否,否,6級,2025/9/29,12:00
光復鄉中華電信,0,是,否,6級,2025/9/29,12:00
光復鄉中正路一段146號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段154號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段156號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段158號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段186號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段204號,0,是,是,6級,2025/9/29,12:00
光復鄉林森路10號,0,是,是,6級,2025/9/29,12:00
光復鄉林森路14號,0,否,是,6級,2025/9/29,12:00
光復鄉林森路16號,0,是,是,6級,2025/9/29,12:00
光復鄉林森路18號,0,是,是,6級,2025/9/29,12:00
光復鄉林森路22號,0,是,是,6級,2025/9/29,12:00
光復鄉林森路26號,0,否,是,6級,2025/9/29,12:00
光復鄉林森路32號,0,是,是,6級,2025/9/29,12:00
光復鄉林森路32-1號,0,是,是,6級,2025/9/29,12:00
光復鄉林森路36號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段272號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段342號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段291號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段257號,0,是,是,6級,2025/9/29,12:00
光復鄉自強路80巷3號,0,否,是,6級,2025/9/29,12:00
光復鄉自強路80巷1號,0,是,是,6級,2025/9/29,12:00
光復鄉自強路86號,0,是,是,6級,2025/9/29,12:00
光復鄉自強路98號,0,是,是,6級,2025/9/29,12:00
光復鄉自強路98-1號,0,是,是,6級,2025/9/29,12:00
光復鄉學士街100號,0,是,是,6級,2025/9/29,12:00
光復鄉學士街98號,0,是,是,6級,2025/9/29,12:00
光復鄉自強街63號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街42號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街30號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街19號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街17號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街13號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街11號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街9號,0,是,是,6級,2025/9/29,12:00
光復鄉佛祖街112號,0,是,是,6級,2025/9/29,12:00
光復鄉佛祖街106號,0,是,是,6級,2025/9/29,12:00
光復鄉佛祖街75號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街68號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街70號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街72號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街74號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街76號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街78號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街87號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街96號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街93號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街95號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街100號,0,是,是,6級,2025/9/29,12:00
光復鄉延平街,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街103號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街105號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街107號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街106號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街108號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街111號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街113號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街115號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街119號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街121號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街124號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街126號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街125號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街130號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街132號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街131號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街136號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街138號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街140號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街133-1號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街150號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街160號,0,無法判斷,是,無法判斷,2025/9/29,12:00
光復鄉武昌街124號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街173號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街172號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段30號,0,是,是,6級,2025/9/29,12:00
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,